base_address,rewards
0x24030436fE8DAcbB1250d9A9FfF542C4e29eAba2,1568000000000000000000
0xE1D515fa60E15505a59bE6979a4b3834E7C4b0CC,1568000000000000000000
0xE05B1c873c43d3ce728D47Cf7de89D7992c40FB3,1521000000000000000000
0x072e8910897B1a5F5e4C55CEE4E323F15D218194,1521000000000000000000
0x6Ec25dCaAA8c03F85297e487B6422270C24B3F4e,1475000000000000000000
0xE249e1202DE02d71C9C0dA286C30a8A868ccB8B8,1475000000000000000000
0x74bB7F4b76F82A7d74Df820D51a0Da246c28A3C4,1429000000000000000000
0xB59828182C479Cb7b1e117C86db97B9fA22305d3,1429000000000000000000
0xD15DcCBf0985dC0DE1812b6491F9b3fBA61D9052,1383000000000000000000
0x9E853b9C56A5406DdaBC7f727fB60844B9F6e708,1199000000000000000000
0xA73950ef121140aF2e870BDfAbAd1BFADe53740a,1199000000000000000000
0x04DA7747bBCBc1452a5F766Ec7eb17c4176F8c87,1153000000000000000000
0x56bB221a3C418bDeCadA870922AfAF25A3607EDa,1060000000000000000000
0x3B27543E3bF2CA26303F2Cda649c3a207Bb48440,1060000000000000000000
0xd0D0edED525D07B2702c2dF059B95a6fE90f9B71,1014000000000000000000
0xe5EF5b239B94B2B5983Df0Be1B6A228284D6514C,968000000000000000000
0xb671B70123b611c235a077E4fAc6E4BB44A98ff5,968000000000000000000
0x717A16387b49D4C4097Aa507D6f4B7E699a0E648,876000000000000000000
0x84f4414992cb495fCB291E3aF9cd5d2c9B4e23c5,830000000000000000000
0x3c1f72C28718e3E4e4FA4906Aa39e05E65dDbe10,784000000000000000000
0x7F0F5198536705185c0f974c97Dbd3eFB54200C8,738000000000000000000
0x1DA383E61Fa64008F3EDBFE7ADE8Bbc37a1bd780,645000000000000000000
0xbE3C2967098cb72BA828a52540a120C2CD1C5248,645000000000000000000
0xF216214E28207ADf59CbB9b002E62b6782AD63B5,553000000000000000000
0x0339eb2Db2547C8D079997668392EBdbe0fcC722,553000000000000000000
0x8C383FCAa578A6f36Cad018c4c70cF4Bc85cDee5,507000000000000000000
0x8D44fC4be303f515e09777f5ab8D55006E0cf875,507000000000000000000
0xFD847907d5ee2ce8eA2600B54C5ABf48bb335cD1,461000000000000000000
0x3B904247bAC041E53a7e6842F7D08F3b6700779f,461000000000000000000
0x07244f00328027448a4213d3A71eC481f1BD71a5,415000000000000000000
0x7fA4B5B032a1AA9dD0Dcee7Cdb17551819Da0026,415000000000000000000
0xA58c640E4ba9650fCA79512466fE2808d409426f,369000000000000000000
0xfc8158B8376336881d8C4022DCfF8b0DED1CDCfE,277000000000000000000
0x6Dd9B730c9cd831A47DEfC4DB6581618A38071be,231000000000000000000
0xCECAfe0749D91E990B51e879952322d35a7072d5,231000000000000000000
0x3C38C1297502e9Bc1927505Ad30B25430aF17Fe7,184000000000000000000
0x3840F4fE65D3e030A1eE618052f52737D225f967,184000000000000000000
0x0B0997EFB3DF49C4C7CC1a8DDa702f826559fF3b,184000000000000000000
0x9D93bCd2Dd5Cc0267f02393fe1B15A6D237B2700,138000000000000000000
0xDd353478a011A3464Ea35bD40413B062C7107799,138000000000000000000
0x7584419e88f25169803778E70Fc691be89EBc9c4,138000000000000000000
0x04716d8E96A577ad28e156Ce3bA042669c8E55A2,138000000000000000000
0xA2c03cD0034b2883B2F29d8283C23D7A19944E19,138000000000000000000
0x2739068f68392bDdae08ED4D494b36778e888F28,92000000000000000000
0xD9f6AB514A532744507994c9cf75EE6359371AD6,92000000000000000000
0x9Dab3AD3Dd18ef1E15e44Db007e0Ff7c7329c3dB,92000000000000000000
0xDF325787f2f8e23e304E393a73cBd9bEb1Ef4e51,92000000000000000000
0x3f201382f473ea39c3D0e06536215366a01A17CC,46000000000000000000
0x9cd961b79516F9c547feB47a30b64f74e104b6B8,46000000000000000000
0x49c4086dbb2b711FCf22Fde153de249A2456b3B1,46000000000000000000
0x411c7907331a246A068E21cA7a2663551BE13775,9589000000000000000000
