user_address,amount_eth,presale_alloc_in_rooms
0x7a966aC46E66740D7CBc916f1F3f04a9f6c66177,20000000000000000,20510835169159908000000
0xd1816884aB5d10Bd36fE91700C50f43fB75e041b,20000000000000000,20510835169159908000000
0x5943e7C190b4bd5AE27D30b80dEf9d263391C610,20000000000000000,20510835169159908000000
0xFe14C5409e7E95cF022F81027c120f2c3C0ACF8E,80000000000000000,82043340676639632800000
0xE9E4D9cf82BbBB43C0e019904Eaef91E127aA649,20000000000000000,20510835169159908000000
0x241D0009cB902C6694339b8582EE6E364292B476,20000000000000000,20510835169159908000000
0x3Fc35dC67E8cFAb95E329f57f1A3a8bAD30c1B3e,190000000000000000,194852934107019128000000
0x994bEF38f92C2fCd7491bBb45164081788396F4D,50000000000000000,51277087922899770400000
0x1fB61204C1829dBA6c734C798eFE6eFc6FA697cD,198000000000000000,203057268174683091200000
0x45ED2cA1768845D89f005C8B22c38a73196E0ab0,20000000000000000,20510835169159908000000
0x3D6cCB03f8d2c49C08f58A65cA77F7e23123345F,25000000000000000,25638543961449885600000
0xb89a814Db725f08BB90B21F8B2F5c7D97D41e483,41820000000000000,42888156338713368000000
0xA68a291b6396766f185CA9d6ea2ABDC67e4C0A7c,2900000000000000000,2974071099528186694400000
0x50636eA92A6EA8Bce533CCFee02D5C8E4384fe50,121380000000000000,124480258641631483200000
0x2E9f9017219f378fD4cF48A0e0e372Ef63982d6d,1600000000000000000,1640866813532792659200000
0xDE32466c5a1fc2d3fc3F42400Fc2C61B2630Dd77,123000000000000000,126141636290333436000000
0x5736eb1b89DAab78f6767503E246102c8F26c3Cb,30000000000000000,30766252753739862400000
0x8eFD9ADDD8de6A4E64664D1893dEc51F8C3339E9,1250000000000000000,1281927198072494264800000
0x7f54679Ed44A4e85569774de4d7ce56Ff6Fb6af8,23000000000000000,23587460444533894400000
0x4Ae5989B11f733A2d348a74BbE859f64e0C55AB8,39500000000000000,40508899459090818400000
0x628A7183efBb4C1568253811C5fD8B7d465eAA50,20000000000000000,20510835169159908000000
0xAd649f52a7d6f106f3a69a0Bc542E885e67FeE6b,20000000000000000,20510835169159908000000
0x012DC96E0Db1293c8d967b779D0FC21fC99ae6C5,30000000000000000,30766252753739862400000
0x07243f1d23c97bD78A49bBD8D55FDd38f3FE7e99,20000000000000000,20510835169159908000000
0x719afBf97f340EC9C03cd7E0d98c4751FfcA6b66,990000000000000000,1015286340873415457600000
0xeA39435FFDDbE714DFb6ce8756Cf589f12f013D0,74000000000000000,75890090125891660800000
0xBF5159Cd35d5826Cb9E82e6A39F93312833AE763,45000000000000000,46149379130609793600000
0x2ae5189566dcf3063b7eD1539857DA344A78Fc2e,20000000000000000,20510835169159908000000
0x89aFAd73368B2b5B3F1C63f040F91Cec32B7F79A,50000000000000000,51277087922899770400000
0x50B924c77E1cbaD7A4581314e093D5c072d6414E,20000000000000000,20510835169159908000000
0xA8a39e06472061D9EB72d3b29a34d018E9d3B9C5,20000000000000000,20510835169159908000000
0xFb0c129fd4BbF155Dd1521748d5320ac7855500F,25000000000000000,25638543961449885600000
0x8cD85E1A541cc87Dd6240F25b85BF3d140E9E988,20000000000000000,20510835169159908000000
0xBcC482C1108790E4B2B682F2430d1cafFcB8418D,250000000000000000,256385439614498852800000
0xFe991d7563E917Acc85B8d363E38193Bd43C3a2F,3000000000000000000,3076625275373986236000000
0x6B490cB3aa70cA5656805d1A9b12f58f063F88BE,75000000000000000,76915631884349656000000
0xe5b631166e2510bF0C3Ed42106a7A043A18f5820,80000000000000000,82043340676639632800000
0x9DD6D83F887eA7FeF815871799907300B9569345,20000000000000000,20510835169159908000000
0x3F9E3F2b68D0905902d3885C8dBe80C22D4e4F7e,40000000000000000,41021670338319816800000
0xC26EF9e8b5B783aaE49bD37fCf94b16b70579c89,50000000000000000,51277087922899770400000
0xbe79Ff73da2Be9163D94b357a96301E046e16E4F,20000000000000000,20510835169159908000000
0x211E8C1B6cb5A0162a95e07A3bF173f954E76af2,100000000000000000,102554175845799540800000
0x890b817d055bb19B7F6F92A87B70B12db9c4cCEf,100000000000000000,102554175845799540800000
0xE4fF287589a71660889f9D1225c78BEDB05EC128,130000000000000000,133320428599539403200000
0x51040f50CB8B862edA77f4CD5F56CaAE16F11d4e,37000000000000000,37945045062945830400000
0x2d9A589733DB55f2Ada0b53A6C916b62703beC1B,22000000000000000,22561918686075899200000
